! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 15  M= 15  NLM=  256   NMU= 16  NPHI= 32  NANG=  354   NSH=   1239808
!  NX=  20   NY=  20   NZ=  11    NPTS=    4851   NCELLS=    4000
!  PROPERTY_FILE=gaussol.prp                     
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    EVEN (Z)             INDEPENDENT_PIXEL=0
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0000000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.7070000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON KM)      WAVELENGTH=      2.13
!  SPLITTING_ACCURACY= 0.000E+00   SPHERICAL_HARMONIC_ACCURACY= 0.000E+00
!  SOLUTION_ACCURACY= 0.100E-04
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=   7
!  OUTPUT_TYPE=NET_FLUX_DIV        
!    X       Y        Z       -DIV(Fnet)
   0.000   1.100   0.000    0.37559E-04
   0.000   1.100   0.100    0.18204E-03
   0.000   1.100   0.200    0.59514E-03
   0.000   1.100   0.300    0.13943E-02
   0.000   1.100   0.400    0.23103E-02
   0.000   1.100   0.500    0.27236E-02
   0.000   1.100   0.600    0.22966E-02
   0.000   1.100   0.700    0.14015E-02
   0.000   1.100   0.800    0.62204E-03
   0.000   1.100   0.900    0.20384E-03
   0.000   1.100   1.000    0.46109E-04
   0.000   1.200   0.000    0.35577E-04
   0.000   1.200   0.100    0.16508E-03
   0.000   1.200   0.200    0.53540E-03
   0.000   1.200   0.300    0.12456E-02
   0.000   1.200   0.400    0.20523E-02
   0.000   1.200   0.500    0.24111E-02
   0.000   1.200   0.600    0.20344E-02
   0.000   1.200   0.700    0.12430E-02
   0.000   1.200   0.800    0.55187E-03
   0.000   1.200   0.900    0.18066E-03
   0.000   1.200   1.000    0.42254E-04
   0.000   1.300   0.000    0.30515E-04
   0.000   1.300   0.100    0.13772E-03
   0.000   1.300   0.200    0.44575E-03
   0.000   1.300   0.300    0.10260E-02
   0.000   1.300   0.400    0.16776E-02
   0.000   1.300   0.500    0.19696E-02
   0.000   1.300   0.600    0.16568E-02
   0.000   1.300   0.700    0.10141E-02
   0.000   1.300   0.800    0.45074E-03
   0.000   1.300   0.900    0.14592E-03
   0.000   1.300   1.000    0.34553E-04
   0.000   1.400   0.000    0.25003E-04
   0.000   1.400   0.100    0.10869E-03
   0.000   1.400   0.200    0.34514E-03
   0.000   1.400   0.300    0.77906E-03
   0.000   1.400   0.400    0.12695E-02
