! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 11  M= 11  NLM=   78   NMU= 12  NPHI= 24  NANG=  114   NSH=    150529
!  NX=  64   NY=   1   NZ=  30    NPTS=    3867   NCELLS=    5040
!  PROPERTY_FILE=les2y21w16.prp                  
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    PROPERTY-FILE (Z)    INDEPENDENT_PIXEL=2
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0400000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.5000000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON STER)    WAVELENGTH=      1.65
!  SPLITTING_ACCURACY= 0.300E-01   SPHERICAL_HARMONIC_ACCURACY= 0.300E-02
!  SOLUTION_ACCURACY= 0.100E-03
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=  24
!  OUTPUT_TYPE=MEDIUM-PROPERTIES   
!    X       Y       Z      Extinct  Albedo  Asymmetry Temp
   0.165   0.000   1.000   0.000000 0.000000  0.00000  290.00
   0.220   0.000   0.000   0.000000 0.000000  0.00000  288.00
   0.220   0.000   0.050   0.000000 0.000000  0.00000  287.50
   0.220   0.000   0.100   0.000000 0.000000  0.00000  287.00
   0.220   0.000   0.150   0.000000 0.000000  0.00000  286.50
   0.220   0.000   0.200   0.000000 0.000000  0.00000  286.00
   0.220   0.000   0.250   0.000000 0.000000  0.00000  285.50
   0.220   0.000   0.300   0.000000 0.000000  0.00000  285.50
   0.220   0.000   0.350   0.000000 0.000000  0.00000  284.50
   0.220   0.000   0.400   0.000000 0.000000  0.00000  284.00
   0.220   0.000   0.425   0.000000 0.000000  0.00000  283.60
   0.220   0.000   0.450   0.000000 0.000000  0.00000  283.40
   0.220   0.000   0.475   0.000000 0.000000  0.00000  283.20
   0.220   0.000   0.500   0.000000 0.000000  0.00000  282.90
   0.220   0.000   0.525   0.000000 0.000000  0.00000  282.70
   0.220   0.000   0.550   0.000000 0.000000  0.00000  282.50
   0.220   0.000   0.575   0.000000 0.000000  0.00000  282.30
   0.220   0.000   0.600   6.242084 0.994885  0.72644  282.10
   0.220   0.000   0.625  11.104283 0.992158  0.73894  282.00
   0.220   0.000   0.650  14.116311 0.990842  0.74088  281.80
   0.220   0.000   0.675  13.130549 0.991170  0.74088  281.70
   0.220   0.000   0.700  10.914104 0.992230  0.73894  281.60
   0.220   0.000   0.725  20.878027 0.988286  0.74415  281.50
   0.220   0.000   0.750   0.000000 0.000000  0.00000  281.70
   0.220   0.000   0.775   0.000000 0.000000  0.00000  283.90
   0.220   0.000   0.800   0.000000 0.000000  0.00000  286.20
   0.220   0.000   0.825   0.000000 0.000000  0.00000  286.90
   0.220   0.000   0.850   0.000000 0.000000  0.00000  288.00
   0.220   0.000   0.900   0.000000 0.000000  0.00000  289.00
   0.220   0.000   0.950   0.000000 0.000000  0.00000  289.50
   0.220   0.000   1.000   0.000000 0.000000  0.00000  290.00
   0.275   0.000   0.000   0.000000 0.000000  0.00000  288.00
   0.275   0.000   0.050   0.000000 0.000000  0.00000  287.50
   0.275   0.000   0.100   0.000000 0.000000  0.00000  287.00
   0.275   0.000   0.150   0.000000 0.000000  0.00000  286.50
   0.275   0.000   0.200   0.000000 0.000000  0.00000  286.00
   0.275   0.000   0.250   0.000000 0.000000  0.00000  285.50
   0.275   0.000   0.300   0.000000 0.000000  0.00000  285.50
   0.275   0.000   0.350   0.000000 0.000000  0.00000  284.50
   0.275   0.000   0.400   0.000000 0.000000  0.00000  284.00
   0.275   0.000   0.425   0.000000 0.000000  0.00000  283.60
   0.275   0.000   0.450   0.000000 0.000000  0.00000  283.40
   0.275   0.000   0.475   0.000000 0.000000  0.00000  283.20
   0.275   0.000   0.500   0.000000 0.000000  0.00000  282.90
   0.275   0.000   0.525   0.000000 0.000000  0.00000  282.70
   0.275   0.000   0.550   0.000000 0.000000  0.00000  282.50
   0.275   0.000   0.575   0.000000 0.000000  0.00000  282.30
   0.275   0.000   0.600   4.188911 0.996262  0.71218  282.10
   0.275   0.000   0.625  10.181696 0.992647  0.73761  282.00
   0.275   0.000   0.650  13.889772 0.990916  0.74088  281.80
   0.275   0.000   0.675   9.196267 0.993181  0.73588  281.70
   0.275   0.000   0.700   0.000000 0.000000  0.00000  281.60
   0.275   0.000   0.725   0.000000 0.000000  0.00000  281.50
   0.275   0.000   0.750   0.000000 0.000000  0.00000  281.70
   0.275   0.000   0.775   0.000000 0.000000  0.00000  283.90
   0.275   0.000   0.800   0.000000 0.000000  0.00000  286.20
   0.275   0.000   0.825   0.000000 0.000000  0.00000  286.90
   0.275   0.000   0.850   0.000000 0.000000  0.00000  288.00
   0.275   0.000   0.900   0.000000 0.000000  0.00000  289.00
   0.275   0.000   0.950   0.000000 0.000000  0.00000  289.50
   0.275   0.000   1.000   0.000000 0.000000  0.00000  290.00
   0.330   0.000   0.000   0.000000 0.000000  0.00000  288.00
   0.330   0.000   0.050   0.000000 0.000000  0.00000  287.50
   0.330   0.000   0.100   0.000000 0.000000  0.00000  287.00
   0.330   0.000   0.150   0.000000 0.000000  0.00000  286.50
   0.330   0.000   0.200   0.000000 0.000000  0.00000  286.00
   0.330   0.000   0.250   0.000000 0.000000  0.00000  285.50
   0.330   0.000   0.300   0.000000 0.000000  0.00000  285.50
   0.330   0.000   0.350   0.000000 0.000000  0.00000  284.50
   0.330   0.000   0.400   0.000000 0.000000  0.00000  284.00
   0.330   0.000   0.425   0.000000 0.000000  0.00000  283.60
   0.330   0.000   0.450   0.000000 0.000000  0.00000  283.40
   0.330   0.000   0.475   0.000000 0.000000  0.00000  283.20
   0.330   0.000   0.500   0.000000 0.000000  0.00000  282.90
   0.330   0.000   0.525   0.000000 0.000000  0.00000  282.70
   0.330   0.000   0.550   0.000000 0.000000  0.00000  282.50
   0.330   0.000   0.575   0.000000 0.000000  0.00000  282.30
   0.330   0.000   0.600   0.000000 0.000000  0.00000  282.10
   0.330   0.000   0.625   8.069487 0.993791  0.73357  282.00
   0.330   0.000   0.650  13.235589 0.991134  0.74088  281.80
   0.330   0.000   0.675  14.380330 0.990758  0.74088  281.70
   0.330   0.000   0.700   0.000000 0.000000  0.00000  281.60
   0.330   0.000   0.725   0.000000 0.000000  0.00000  281.50
   0.330   0.000   0.750   0.000000 0.000000  0.00000  281.70
   0.330   0.000   0.775   0.000000 0.000000  0.00000  283.90
   0.330   0.000   0.800   0.000000 0.000000  0.00000  286.20
   0.330   0.000   0.825   0.000000 0.000000  0.00000  286.90
   0.330   0.000   0.850   0.000000 0.000000  0.00000  288.00
   0.330   0.000   0.900   0.000000 0.000000  0.00000  289.00
   0.330   0.000   0.950   0.000000 0.000000  0.00000  289.50
   0.330   0.000   1.000   0.000000 0.000000  0.00000  290.00
   0.385   0.000   0.000   0.000000 0.000000  0.00000  288.00
   0.385   0.000   0.050   0.000000 0.000000  0.00000  287.50
   0.385   0.000   0.100   0.000000 0.000000  0.00000  287.00
   0.385   0.000   0.150   0.000000 0.000000  0.00000  286.50
   0.385   0.000   0.200   0.000000 0.000000  0.00000  286.00
   0.385   0.000   0.250   0.000000 0.000000  0.00000  285.50
   0.385   0.000   0.300   0.000000 0.000000  0.00000  285.50
   0.385   0.000   0.350   0.000000 0.000000  0.00000  284.50
   0.385   0.000   0.400   0.000000 0.000000  0.00000  284.00
   0.385   0.000   0.425   0.000000 0.000000  0.00000  283.60
   0.385   0.000   0.450   0.000000 0.000000  0.00000  283.40
   0.385   0.000   0.475   0.000000 0.000000  0.00000  283.20
   0.385   0.000   0.500   0.000000 0.000000  0.00000  282.90
   0.385   0.000   0.525   0.000000 0.000000  0.00000  282.70
   0.385   0.000   0.550   0.000000 0.000000  0.00000  282.50
   0.385   0.000   0.575   0.000000 0.000000  0.00000  282.30
   0.385   0.000   0.600   0.000000 0.000000  0.00000  282.10
   0.385   0.000   0.625   8.089181 0.993781  0.73357  282.00
   0.385   0.000   0.650  13.635283 0.990999  0.74088  281.80
   0.385   0.000   0.675  18.928085 0.988918  0.74356  281.70
   0.385   0.000   0.700  19.572065 0.988743  0.74356  281.60
   0.385   0.000   0.725  16.936239 0.989719  0.74232  281.50
   0.385   0.000   0.750   0.000000 0.000000  0.00000  281.70
   0.385   0.000   0.775   0.000000 0.000000  0.00000  283.90
   0.385   0.000   0.800   0.000000 0.000000  0.00000  286.20
   0.385   0.000   0.825   0.000000 0.000000  0.00000  286.90
   0.385   0.000   0.850   0.000000 0.000000  0.00000  288.00
   0.385   0.000   0.900   0.000000 0.000000  0.00000  289.00
   0.385   0.000   0.950   0.000000 0.000000  0.00000  289.50
   0.385   0.000   1.000   0.000000 0.000000  0.00000  290.00
