! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 11  M= 11  NLM=   78   NMU= 12  NPHI= 24  NANG=  114   NSH=    150529
!  NX=  64   NY=   1   NZ=  30    NPTS=    3867   NCELLS=    5040
!  PROPERTY_FILE=les2y21w16.prp                  
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    PROPERTY-FILE (Z)    INDEPENDENT_PIXEL=2
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0400000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.5000000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      1.65
!  SPLITTING_ACCURACY= 0.300E-01   SPHERICAL_HARMONIC_ACCURACY= 0.300E-02
!  SOLUTION_ACCURACY= 0.100E-03
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=  24
!  OUTPUT_TYPE=FLUX                
!   X       Y       Z           UP       DOWN_DIFFUSE   DOWN_DIRECT
   0.110   0.000   0.400    0.18076E-01   0.46994E+00   0.25302E-03
   0.110   0.000   0.425    0.18152E-01   0.47495E+00   0.71812E-03
   0.110   0.000   0.450    0.18228E-01   0.47920E+00   0.56212E-02
   0.110   0.000   0.475    0.18362E-01   0.48488E+00   0.10255E-01
   0.110   0.000   0.500    0.18632E-01   0.49265E+00   0.55135E-02
   0.110   0.000   0.525    0.19133E-01   0.50068E+00   0.43344E-02
   0.110   0.000   0.550    0.21260E-01   0.52125E+00   0.38675E-02
   0.110   0.000   0.575    0.27595E-01   0.54345E+00   0.89433E-02
   0.110   0.000   0.600    0.48836E-01   0.57849E+00   0.23926E-01
   0.110   0.000   0.625    0.82783E-01   0.61086E+00   0.24382E-01
   0.110   0.000   0.650    0.13149E+00   0.61811E+00   0.31470E-01
   0.110   0.000   0.675    0.18987E+00   0.59935E+00   0.41277E-01
   0.110   0.000   0.700    0.25674E+00   0.57472E+00   0.11117E+00
   0.110   0.000   0.725    0.34128E+00   0.42818E+00   0.47967E+00
   0.110   0.000   0.750    0.38798E+00   0.48387E-01   0.96491E+00
   0.110   0.000   0.775    0.39794E+00   0.66343E-04   0.10000E+01
   0.110   0.000   0.800    0.39878E+00   0.16102E-08   0.10000E+01
