! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L=  1  M=  0  NLM=    2   NMU=  2  NPHI=  2  NANG=    4   NSH=     51628
!  NX=4096   NY=   1   NZ=  20    NPTS=  103771   NCELLS=  119876
!  PROPERTY_FILE=spot3D0p865CER12.prp            
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    PROPERTY-FILE (Z)    INDEPENDENT_PIXEL=2
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0000000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.5000000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      0.87
!  SPLITTING_ACCURACY= 0.300E-01   SPHERICAL_HARMONIC_ACCURACY= 0.300E-02
!  SOLUTION_ACCURACY= 0.100E-03
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=  19
!  OUTPUT_TYPE=FLUX                
!    UPWELLING FLUX:     Z=  1.000
!    DOWNWELLING FLUX:   Z=  0.000
!   X       Y           UP       DOWN_DIFFUSE   DOWN_DIRECT
  75.000   0.000    0.53533E+00   0.43393E+00   0.28163E-01
  76.000   0.000    0.52952E+00   0.43687E+00   0.24247E-01
  77.000   0.000    0.52956E+00   0.43709E+00   0.29818E-01
  78.000   0.000    0.52112E+00   0.44106E+00   0.26105E-01
  79.000   0.000    0.52793E+00   0.43851E+00   0.37127E-01
  80.000   0.000    0.54181E+00   0.43092E+00   0.30426E-01
  81.000   0.000    0.54447E+00   0.42863E+00   0.20291E-01
  82.000   0.000    0.55458E+00   0.42272E+00   0.23751E-01
  83.000   0.000    0.56530E+00   0.41590E+00   0.18606E-01
  84.000   0.000    0.57423E+00   0.40957E+00   0.14898E-01
  85.000   0.000    0.56962E+00   0.41137E+00   0.11044E-01
  86.000   0.000    0.56252E+00   0.41562E+00   0.13914E-01
  87.000   0.000    0.56301E+00   0.41565E+00   0.17438E-01
  88.000   0.000    0.55716E+00   0.41915E+00   0.14551E-01
  89.000   0.000    0.54835E+00   0.42472E+00   0.17009E-01
  90.000   0.000    0.53988E+00   0.43023E+00   0.20960E-01
  91.000   0.000    0.53903E+00   0.43139E+00   0.25706E-01
  92.000   0.000    0.52970E+00   0.43628E+00   0.22137E-01
  93.000   0.000    0.52425E+00   0.43965E+00   0.29480E-01
  94.000   0.000    0.52889E+00   0.43787E+00   0.33991E-01
  95.000   0.000    0.52912E+00   0.43694E+00   0.27257E-01
  96.000   0.000    0.51072E+00   0.44497E+00   0.24071E-01
  97.000   0.000    0.49788E+00   0.45130E+00   0.40335E-01
  98.000   0.000    0.49031E+00   0.45502E+00   0.47552E-01
  99.000   0.000    0.49741E+00   0.45332E+00   0.55850E-01
 100.000   0.000    0.51051E+00   0.44806E+00   0.47370E-01
 101.000   0.000    0.51732E+00   0.44435E+00   0.35602E-01
 102.000   0.000    0.51245E+00   0.44593E+00   0.30925E-01
 103.000   0.000    0.50982E+00   0.44727E+00   0.38283E-01
 104.000   0.000    0.52052E+00   0.44279E+00   0.42735E-01
 105.000   0.000    0.51799E+00   0.44343E+00   0.28700E-01
 106.000   0.000    0.51506E+00   0.44482E+00   0.33924E-01
 107.000   0.000    0.51236E+00   0.44617E+00   0.35821E-01
 108.000   0.000    0.52183E+00   0.44222E+00   0.40778E-01
 109.000   0.000    0.53054E+00   0.43746E+00   0.31472E-01
 110.000   0.000    0.53290E+00   0.43571E+00   0.26547E-01
 111.000   0.000    0.52681E+00   0.43808E+00   0.25000E-01
 112.000   0.000    0.49197E+00   0.45449E+00   0.22923E-01
 113.000   0.000    0.47440E+00   0.46491E+00   0.58984E-01
 114.000   0.000    0.46500E+00   0.46990E+00   0.68197E-01
 115.000   0.000    0.47051E+00   0.47019E+00   0.78587E-01
 116.000   0.000    0.47991E+00   0.46707E+00   0.68193E-01
 117.000   0.000    0.48059E+00   0.46387E+00   0.56332E-01
 118.000   0.000    0.49088E+00   0.45819E+00   0.62414E-01
 119.000   0.000    0.49163E+00   0.45601E+00   0.46515E-01
 120.000   0.000    0.50017E+00   0.45248E+00   0.52309E-01
 121.000   0.000    0.50107E+00   0.45161E+00   0.41527E-01
 122.000   0.000    0.51035E+00   0.44776E+00   0.46514E-01
 123.000   0.000    0.50545E+00   0.44909E+00   0.33602E-01
 124.000   0.000    0.49665E+00   0.45259E+00   0.40158E-01
 125.000   0.000    0.49612E+00   0.45327E+00   0.49765E-01
 126.000   0.000    0.48871E+00   0.45572E+00   0.43844E-01
 127.000   0.000    0.48521E+00   0.45723E+00   0.53125E-01
 128.000   0.000    0.49565E+00   0.45426E+00   0.59443E-01
 129.000   0.000    0.50603E+00   0.45002E+00   0.46377E-01
 130.000   0.000    0.51316E+00   0.44641E+00   0.39270E-01
 131.000   0.000    0.50739E+00   0.44813E+00   0.32799E-01
 132.000   0.000    0.49780E+00   0.45201E+00   0.39249E-01
 133.000   0.000    0.49638E+00   0.45296E+00   0.48713E-01
 134.000   0.000    0.48722E+00   0.45607E+00   0.43447E-01
 135.000   0.000    0.49310E+00   0.45496E+00   0.58824E-01
 136.000   0.000    0.50473E+00   0.45052E+00   0.49936E-01
 137.000   0.000    0.50737E+00   0.44893E+00   0.38030E-01
 138.000   0.000    0.51941E+00   0.44352E+00   0.42730E-01
 139.000   0.000    0.52208E+00   0.44161E+00   0.30592E-01
 140.000   0.000    0.53367E+00   0.43565E+00   0.34455E-01
 141.000   0.000    0.53044E+00   0.43651E+00   0.22832E-01
 142.000   0.000    0.52579E+00   0.43893E+00   0.27714E-01
 143.000   0.000    0.53274E+00   0.43586E+00   0.33492E-01
 144.000   0.000    0.54464E+00   0.42910E+00   0.27770E-01
 145.000   0.000    0.55426E+00   0.42265E+00   0.21226E-01
 146.000   0.000    0.55814E+00   0.41945E+00   0.17561E-01
 147.000   0.000    0.55777E+00   0.41873E+00   0.16425E-01
 148.000   0.000    0.54051E+00   0.42855E+00   0.14432E-01
 149.000   0.000    0.54168E+00   0.42975E+00   0.28602E-01
 150.000   0.000    0.54517E+00   0.42795E+00   0.23593E-01
 151.000   0.000    0.53674E+00   0.43201E+00   0.19154E-01
 152.000   0.000    0.52149E+00   0.44002E+00   0.23815E-01
 153.000   0.000    0.51449E+00   0.44452E+00   0.34981E-01
 154.000   0.000    0.52169E+00   0.44203E+00   0.40055E-01
 155.000   0.000    0.53177E+00   0.43682E+00   0.32466E-01
 156.000   0.000    0.54103E+00   0.43125E+00   0.26817E-01
 157.000   0.000    0.53773E+00   0.43234E+00   0.20729E-01
 158.000   0.000    0.53384E+00   0.43443E+00   0.24880E-01
 159.000   0.000    0.52874E+00   0.43735E+00   0.26402E-01
 160.000   0.000    0.53058E+00   0.43680E+00   0.30630E-01
 161.000   0.000    0.52418E+00   0.43973E+00   0.25682E-01
 162.000   0.000    0.51725E+00   0.44338E+00   0.30986E-01
 163.000   0.000    0.51885E+00   0.44321E+00   0.37226E-01
 164.000   0.000    0.51524E+00   0.44463E+00   0.31941E-01
 165.000   0.000    0.50699E+00   0.44814E+00   0.34099E-01
 166.000   0.000    0.49890E+00   0.45179E+00   0.40548E-01
 167.000   0.000    0.49968E+00   0.45204E+00   0.48026E-01
 168.000   0.000    0.49532E+00   0.45362E+00   0.42329E-01
 169.000   0.000    0.50101E+00   0.45197E+00   0.51029E-01
 170.000   0.000    0.50701E+00   0.44937E+00   0.43433E-01
 171.000   0.000    0.50203E+00   0.45130E+00   0.36479E-01
 172.000   0.000    0.49515E+00   0.45540E+00   0.42823E-01
 173.000   0.000    0.48645E+00   0.46106E+00   0.47138E-01
 174.000   0.000    0.47816E+00   0.46614E+00   0.55129E-01
 175.000   0.000    0.47586E+00   0.46817E+00   0.64246E-01
 176.000   0.000    0.46141E+00   0.47060E+00   0.58035E-01
 177.000   0.000    0.45552E+00   0.47206E+00   0.80060E-01
 178.000   0.000    0.46534E+00   0.47157E+00   0.87599E-01
 179.000   0.000    0.46777E+00   0.47111E+00   0.67673E-01
 180.000   0.000    0.48022E+00   0.46909E+00   0.74183E-01
 181.000   0.000    0.47778E+00   0.46914E+00   0.53986E-01
 182.000   0.000    0.47436E+00   0.46976E+00   0.61940E-01
 183.000   0.000    0.46988E+00   0.47052E+00   0.64774E-01
 184.000   0.000    0.47482E+00   0.46952E+00   0.72216E-01
 185.000   0.000    0.47370E+00   0.46804E+00   0.61260E-01
 186.000   0.000    0.48068E+00   0.46417E+00   0.68576E-01
 187.000   0.000    0.48675E+00   0.45959E+00   0.57569E-01
 188.000   0.000    0.48714E+00   0.45769E+00   0.50660E-01
 189.000   0.000    0.49313E+00   0.45533E+00   0.54958E-01
 190.000   0.000    0.49603E+00   0.45417E+00   0.47647E-01
 191.000   0.000    0.49532E+00   0.45471E+00   0.45306E-01
 192.000   0.000    0.47634E+00   0.46244E+00   0.40986E-01
 193.000   0.000    0.46936E+00   0.46786E+00   0.68282E-01
 194.000   0.000    0.47777E+00   0.46874E+00   0.75136E-01
 195.000   0.000    0.47672E+00   0.46888E+00   0.57109E-01
 196.000   0.000    0.48028E+00   0.46694E+00   0.64894E-01
 197.000   0.000    0.48718E+00   0.46289E+00   0.61516E-01
 198.000   0.000    0.49201E+00   0.45945E+00   0.52892E-01
 199.000   0.000    0.48339E+00   0.46179E+00   0.44914E-01
 200.000   0.000    0.46507E+00   0.46717E+00   0.53483E-01
 201.000   0.000    0.45213E+00   0.47083E+00   0.75139E-01
 202.000   0.000    0.44424E+00   0.47249E+00   0.85802E-01
 203.000   0.000    0.44993E+00   0.47299E+00   0.97683E-01
 204.000   0.000    0.45942E+00   0.47219E+00   0.85797E-01
 205.000   0.000    0.46064E+00   0.47147E+00   0.72042E-01
 206.000   0.000    0.47145E+00   0.46846E+00   0.80118E-01
 207.000   0.000    0.48614E+00   0.46198E+00   0.67945E-01
 208.000   0.000    0.50863E+00   0.45108E+00   0.56937E-01
 209.000   0.000    0.51696E+00   0.44494E+00   0.34272E-01
 210.000   0.000    0.50847E+00   0.44757E+00   0.30163E-01
 211.000   0.000    0.50726E+00   0.44839E+00   0.42304E-01
 212.000   0.000    0.49790E+00   0.45198E+00   0.37178E-01
 213.000   0.000    0.49327E+00   0.45429E+00   0.47618E-01
 214.000   0.000    0.50073E+00   0.45239E+00   0.53077E-01
 215.000   0.000    0.49517E+00   0.45539E+00   0.38883E-01
 216.000   0.000    0.48514E+00   0.46153E+00   0.46348E-01
 217.000   0.000    0.48516E+00   0.46497E+00   0.59965E-01
 218.000   0.000    0.47808E+00   0.46751E+00   0.53247E-01
 219.000   0.000    0.47462E+00   0.46739E+00   0.63752E-01
 220.000   0.000    0.48506E+00   0.46293E+00   0.70028E-01
 221.000   0.000    0.48493E+00   0.46038E+00   0.50604E-01
 222.000   0.000    0.48974E+00   0.45816E+00   0.57087E-01
 223.000   0.000    0.48505E+00   0.45867E+00   0.47353E-01
 224.000   0.000    0.45025E+00   0.46591E+00   0.44329E-01
 225.000   0.000    0.44011E+00   0.47024E+00   0.10057E+00
 226.000   0.000    0.42572E+00   0.47104E+00   0.92190E-01
 227.000   0.000    0.42334E+00   0.47123E+00   0.11607E+00
 228.000   0.000    0.41338E+00   0.47011E+00   0.10630E+00
 229.000   0.000    0.40811E+00   0.46979E+00   0.12581E+00
 230.000   0.000    0.41531E+00   0.47120E+00   0.13680E+00
 231.000   0.000    0.42420E+00   0.47220E+00   0.12014E+00
 232.000   0.000    0.43035E+00   0.47260E+00   0.10773E+00
 233.000   0.000    0.43072E+00   0.47269E+00   0.10099E+00
 234.000   0.000    0.44109E+00   0.47298E+00   0.10959E+00
 235.000   0.000    0.44040E+00   0.47297E+00   0.86697E-01
 236.000   0.000    0.44409E+00   0.47323E+00   0.96695E-01
 237.000   0.000    0.45170E+00   0.47302E+00   0.92379E-01
 238.000   0.000    0.45783E+00   0.47259E+00   0.82163E-01
 239.000   0.000    0.46626E+00   0.47163E+00   0.78835E-01
 240.000   0.000    0.47207E+00   0.47024E+00   0.69619E-01
 241.000   0.000    0.47974E+00   0.46730E+00   0.67093E-01
 242.000   0.000    0.48335E+00   0.46391E+00   0.58742E-01
 243.000   0.000    0.48555E+00   0.46149E+00   0.56050E-01
 244.000   0.000    0.47603E+00   0.46430E+00   0.49828E-01
 245.000   0.000    0.46607E+00   0.46821E+00   0.62431E-01
 246.000   0.000    0.45638E+00   0.47093E+00   0.71971E-01
 247.000   0.000    0.45371E+00   0.47149E+00   0.82700E-01
 248.000   0.000    0.43981E+00   0.47215E+00   0.75807E-01
 249.000   0.000    0.44266E+00   0.47301E+00   0.10502E+00
 250.000   0.000    0.44916E+00   0.47283E+00   0.92948E-01
 251.000   0.000    0.44824E+00   0.47286E+00   0.81441E-01
 252.000   0.000    0.45376E+00   0.47260E+00   0.90059E-01
 253.000   0.000    0.45233E+00   0.47234E+00   0.78188E-01
 254.000   0.000    0.45591E+00   0.47093E+00   0.86666E-01
 255.000   0.000    0.44812E+00   0.46775E+00   0.73877E-01
 256.000   0.000    0.40644E+00   0.46449E+00   0.70433E-01
 257.000   0.000    0.39373E+00   0.46425E+00   0.15507E+00
 258.000   0.000    0.37917E+00   0.46102E+00   0.14450E+00
 259.000   0.000    0.37813E+00   0.46088E+00   0.17420E+00
 260.000   0.000    0.37219E+00   0.45880E+00   0.16189E+00
 261.000   0.000    0.37267E+00   0.45859E+00   0.17914E+00
 262.000   0.000    0.36519E+00   0.45568E+00   0.16659E+00
 263.000   0.000    0.35963E+00   0.45366E+00   0.18597E+00
 264.000   0.000    0.36271E+00   0.45477E+00   0.19965E+00
 265.000   0.000    0.36529E+00   0.45523E+00   0.18539E+00
 266.000   0.000    0.35594E+00   0.45146E+00   0.17394E+00
 267.000   0.000    0.35568E+00   0.45119E+00   0.20596E+00
 268.000   0.000    0.34966E+00   0.44831E+00   0.19275E+00
 269.000   0.000    0.34982E+00   0.44809E+00   0.21123E+00
 270.000   0.000    0.34323E+00   0.44531E+00   0.19916E+00
 271.000   0.000    0.35434E+00   0.45073E+00   0.23276E+00
 272.000   0.000    0.38043E+00   0.46059E+00   0.20995E+00
 273.000   0.000    0.39060E+00   0.46392E+00   0.14785E+00
 274.000   0.000    0.38242E+00   0.46206E+00   0.13753E+00
 275.000   0.000    0.38024E+00   0.46117E+00   0.16658E+00
 276.000   0.000    0.36842E+00   0.45735E+00   0.15602E+00
 277.000   0.000    0.37122E+00   0.45884E+00   0.19138E+00
 278.000   0.000    0.37756E+00   0.46124E+00   0.17642E+00
 279.000   0.000    0.39114E+00   0.46535E+00   0.17143E+00
 280.000   0.000    0.41191E+00   0.46951E+00   0.15248E+00
 281.000   0.000    0.41236E+00   0.46988E+00   0.11016E+00
 282.000   0.000    0.40927E+00   0.46954E+00   0.12222E+00
 283.000   0.000    0.40330E+00   0.46850E+00   0.12642E+00
 284.000   0.000    0.40277E+00   0.46821E+00   0.13817E+00
 285.000   0.000    0.39647E+00   0.46668E+00   0.13067E+00
 286.000   0.000    0.39206E+00   0.46567E+00   0.14381E+00
 287.000   0.000    0.38827E+00   0.46496E+00   0.14837E+00
 288.000   0.000    0.39547E+00   0.46704E+00   0.16046E+00
 289.000   0.000    0.40516E+00   0.46917E+00   0.14431E+00
 290.000   0.000    0.41386E+00   0.47059E+00   0.12995E+00
 291.000   0.000    0.41349E+00   0.47071E+00   0.11600E+00
 292.000   0.000    0.41954E+00   0.47158E+00   0.12647E+00
 293.000   0.000    0.41989E+00   0.47165E+00   0.11201E+00
 294.000   0.000    0.43003E+00   0.47242E+00   0.12110E+00
 295.000   0.000    0.42788E+00   0.47220E+00   0.96821E-01
 296.000   0.000    0.42728E+00   0.47229E+00   0.10765E+00
 297.000   0.000    0.42558E+00   0.47229E+00   0.10712E+00
 298.000   0.000    0.43621E+00   0.47294E+00   0.11600E+00
 299.000   0.000    0.43796E+00   0.47299E+00   0.92321E-01
 300.000   0.000    0.44785E+00   0.47295E+00   0.10129E+00
 301.000   0.000    0.45252E+00   0.47182E+00   0.84155E-01
 302.000   0.000    0.44171E+00   0.47038E+00   0.75804E-01
 303.000   0.000    0.42186E+00   0.46734E+00   0.88814E-01
 304.000   0.000    0.38669E+00   0.46140E+00   0.10479E+00
 305.000   0.000    0.38205E+00   0.46221E+00   0.18148E+00
 306.000   0.000    0.38621E+00   0.46375E+00   0.16545E+00
 307.000   0.000    0.38500E+00   0.46369E+00   0.14970E+00
 308.000   0.000    0.39041E+00   0.46528E+00   0.16155E+00
 309.000   0.000    0.38983E+00   0.46535E+00   0.14515E+00
 310.000   0.000    0.39746E+00   0.46735E+00   0.15692E+00
 311.000   0.000    0.40319E+00   0.46832E+00   0.13905E+00
 312.000   0.000    0.39997E+00   0.46771E+00   0.12748E+00
 313.000   0.000    0.39736E+00   0.46741E+00   0.13955E+00
 314.000   0.000    0.40706E+00   0.46936E+00   0.14970E+00
 315.000   0.000    0.40728E+00   0.46955E+00   0.12240E+00
 316.000   0.000    0.41370E+00   0.47071E+00   0.13316E+00
 317.000   0.000    0.41425E+00   0.47088E+00   0.11829E+00
 318.000   0.000    0.42496E+00   0.47208E+00   0.12764E+00
 319.000   0.000    0.42460E+00   0.47208E+00   0.10262E+00
 320.000   0.000    0.42876E+00   0.47249E+00   0.11279E+00
 321.000   0.000    0.42743E+00   0.47243E+00   0.10252E+00
 322.000   0.000    0.43408E+00   0.47276E+00   0.11240E+00
 323.000   0.000    0.43696E+00   0.47213E+00   0.97456E-01
 324.000   0.000    0.42491E+00   0.47132E+00   0.89508E-01
 325.000   0.000    0.42281E+00   0.47130E+00   0.11670E+00
 326.000   0.000    0.41429E+00   0.47053E+00   0.10759E+00
 327.000   0.000    0.42346E+00   0.47197E+00   0.13345E+00
 328.000   0.000    0.44468E+00   0.47264E+00   0.11674E+00
 329.000   0.000    0.45010E+00   0.47263E+00   0.80531E-01
 330.000   0.000    0.46091E+00   0.47180E+00   0.88096E-01
 331.000   0.000    0.45599E+00   0.47169E+00   0.68098E-01
 332.000   0.000    0.44652E+00   0.47222E+00   0.78422E-01
